Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Maine,45,47,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Maine,120,89,35,39
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Maine,45,67,35,52
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Maine,99,123,15,21
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Maine,572,267,234,134
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Maine,496,197,12,18
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Maine,123,155,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Maine,225,172,71,109
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Maine,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Maine,60,65,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Maine,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Maine,40,42,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Maine,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Maine,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Maine,35,39,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Maine,45,47,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Maine,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Maine,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Maine,80,59,65,55
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Maine,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Maine,100,63,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Maine,45,48,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Maine,75,68,55,46
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Maine,100,64,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Maine,20,15,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Maine,20,28,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Maine,"1,955",447,"1,265",318
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Maine,205,140,175,130
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Maine,320,127,70,70
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Maine,35,31,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Maine,839,196,149,77
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Maine,873,238,364,119
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Maine,984,405,588,239
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Maine,489,166,318,153
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Maine,96,95,39,43
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Maine,"1,807",431,977,273
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Maine,250,264,135,148
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Maine,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Maine,285,261,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Maine,20,24,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Maine,150,159,55,67
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Maine,75,62,40,35
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Munda,Maine,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Maine,25,37,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Maine,"1,423",342,589,213
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Maine,25,27,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,Maine,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Maine,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Maine,45,37,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Maine,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Maine,10,13,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Maine,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Navajo,.Navajo,Maine,17,17,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Algonquian,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Micmac,Maine,90,46,25,32
ALL OTHER LANGUAGES,.Other Native North American languages,..Passamaquoddy,Maine,785,121,45,24
ALL OTHER LANGUAGES,.Other Native North American languages,..Penobscot,Maine,70,39,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Abnaki,Maine,30,24,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Okanogan,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Mikasuki,Maine,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Maine,20,12,15,8
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Maine,25,16,4,5
ALL OTHER LANGUAGES,.Arabic,.Arabic,Maine,"1,255",445,520,270
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Maine,146,82,9,14
ALL OTHER LANGUAGES,.African languages,..Amharic,Maine,235,187,95,82
ALL OTHER LANGUAGES,.African languages,..Chadic,Maine,55,64,(B),--
ALL OTHER LANGUAGES,.African languages,..Cushite,Maine,"2,055",401,"1,285",312
ALL OTHER LANGUAGES,.African languages,..Sudanic,Maine,25,29,25,29
ALL OTHER LANGUAGES,.African languages,..Nilotic,Maine,395,245,290,193
ALL OTHER LANGUAGES,.African languages,..Nilo-Hamitic,Maine,160,196,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Swahili,Maine,165,99,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Bantu,Maine,265,141,150,110
