Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,New Mexico,295,157,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,New Mexico,70,59,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,New Mexico,60,42,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,New Mexico,70,80,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,New Mexico,297,125,18,21
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,New Mexico,"1,341",368,304,140
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,New Mexico,477,172,95,68
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,New Mexico,100,76,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,New Mexico,260,224,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,New Mexico,45,47,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,New Mexico,60,40,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,New Mexico,135,87,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,New Mexico,100,85,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,New Mexico,125,138,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,New Mexico,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,New Mexico,47,50,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,New Mexico,"1,086",385,319,121
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,New Mexico,"1,038",324,148,108
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,New Mexico,488,245,165,93
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,New Mexico,183,116,62,57
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,New Mexico,125,171,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,New Mexico,260,223,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,New Mexico,150,127,110,88
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,New Mexico,95,90,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,New Mexico,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,New Mexico,155,107,65,52
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,New Mexico,135,128,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,New Mexico,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,New Mexico,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,New Mexico,55,49,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,New Mexico,210,95,75,65
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,New Mexico,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,New Mexico,220,104,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,New Mexico,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,New Mexico,80,78,25,33
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,New Mexico,90,74,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,New Mexico,55,73,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,New Mexico,"3,160",540,"1,420",297
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,New Mexico,230,112,145,93
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,New Mexico,730,224,395,131
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,New Mexico,150,118,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,New Mexico,"1,941",369,565,149
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,New Mexico,"1,288",292,656,166
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",New Mexico,36,45,28,39
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,New Mexico,21,32,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,New Mexico,453,194,229,150
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,New Mexico,542,286,159,128
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,New Mexico,"4,555",821,"2,837",608
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,New Mexico,265,151,130,85
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,New Mexico,360,214,55,54
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,New Mexico,90,73,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,New Mexico,180,126,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,New Mexico,230,194,185,180
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,New Mexico,70,113,45,78
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,New Mexico,"2,808",466,781,251
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,New Mexico,75,82,50,46
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,New Mexico,115,88,75,60
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bikol,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,New Mexico,95,64,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,New Mexico,30,37,30,37
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,New Mexico,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Yapese,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Melanesian,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,New Mexico,45,32,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,New Mexico,45,49,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,New Mexico,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,New Mexico,95,111,(B),--
ALL OTHER LANGUAGES,.Navajo,.Navajo,New Mexico,"64,040","1,763","11,579",790
ALL OTHER LANGUAGES,.Other Native North American languages,..Aleut,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Cheyenne,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Kickapoo,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Ottawa,New Mexico,30,31,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Potawatomi,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Salish,New Mexico,40,41,25,32
ALL OTHER LANGUAGES,.Other Native North American languages,..Athapascan,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,New Mexico,"1,700",274,225,72
ALL OTHER LANGUAGES,.Other Native North American languages,..Pomo,New Mexico,60,57,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Mohave,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,New Mexico,265,279,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,New Mexico,90,104,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,New Mexico,"11,950",686,"1,760",258
ALL OTHER LANGUAGES,.Other Native North American languages,..Mohawk,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Seneca,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,New Mexico,205,120,(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Comanche,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Ute,New Mexico,60,56,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Shoshoni,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Hopi,New Mexico,185,145,(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Pima,New Mexico,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other Native North American languages,..Picuris,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Tiwa,New Mexico,"1,900",303,65,42
ALL OTHER LANGUAGES,.Other Native North American languages,..Sandia,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other Native North American languages,..Tewa,New Mexico,"4,115",445,265,109
ALL OTHER LANGUAGES,.Other Native North American languages,..Towa,New Mexico,"1,780",332,510,234
ALL OTHER LANGUAGES,.Other Native North American languages,..Zuni,New Mexico,"9,255","1,107","1,210",301
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,New Mexico,540,265,80,41
ALL OTHER LANGUAGES,.Other Native North American languages,..Jicarilla,New Mexico,510,178,30,20
ALL OTHER LANGUAGES,.Other Native North American languages,..Chiricahua,New Mexico,130,55,10,14
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,New Mexico,375,153,127,93
ALL OTHER LANGUAGES,.Arabic,.Arabic,New Mexico,"2,114",582,571,298
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,New Mexico,523,240,24,22
ALL OTHER LANGUAGES,.African languages,..Amharic,New Mexico,320,144,65,41
ALL OTHER LANGUAGES,.African languages,..Cushite,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.African languages,..Swahili,New Mexico,175,114,45,48
ALL OTHER LANGUAGES,.African languages,..Bantu,New Mexico,210,132,50,47
ALL OTHER LANGUAGES,.African languages,..Fulani,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",New Mexico,115,82,(D),(D)
ALL OTHER LANGUAGES,.African languages,..African,New Mexico,20,25,(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,New Mexico,90,51,(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,New Mexico,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,New Mexico,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Oto - Manguen,New Mexico,75,116,75,116
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,New Mexico,80,65,(B),--
Total,Total,Total Speakers,New York,"18,322,476",609,"2,455,989","12,836"
English,English,English,New York,"12,835,426","17,251",(X),(X)
SPANISH AND SPANISH CREOLE,Spanish,..Spanish,New York,"2,705,225","9,249","1,232,235","9,040"
SPANISH AND SPANISH CREOLE,Spanish,..Ladino,New York,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,New York,"133,535","3,866","32,520","1,782"
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,New York,"5,645",578,"1,010",205
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,New York,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,New York,"153,455","4,931","66,679","2,698"
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,New York,"191,569","4,101","60,918","1,765"
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,New York,"44,980","2,168","16,765","1,403"
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Papia Mentae,New York,90,60,20,21
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,New York,"65,165","2,027","10,760",696
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..Luxembourgian,New York,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,New York,"128,760","3,686","49,887","1,996"
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,New York,"6,485",805,"2,595",431
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,New York,"10,840",900,"1,775",303
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,New York,610,176,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,New York,"4,105",571,275,95
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,New York,"2,055",450,295,266
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,New York,"2,720",415,450,142
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,New York,320,144,20,27
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Faroese,New York,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,New York,"71,233","2,922","20,897","1,180"
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,New York,"226,290","4,082","130,848","2,773"
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,New York,"95,175","3,071","42,182","1,904"
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,New York,"16,585","1,566","7,040",807
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,New York,"10,470",924,"3,685",489
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,New York,"6,965","1,025","2,510",468
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,New York,445,178,265,129
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,New York,"21,480","1,356","10,900",864
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,New York,"3,005",561,"1,015",328
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,New York,"3,155",542,"1,065",275
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,New York,"5,300",725,"1,650",323
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,New York,"2,755",682,930,270
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,New York,330,109,140,88
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,New York,"6,595",824,"2,214",367
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,New York,"26,545","1,836","10,666","1,031"
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,New York,"58,591","2,661","14,864","1,077"
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,New York,"20,782","1,653","6,992",931
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,New York,"71,425","3,795","26,915","1,895"
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,New York,"4,295",875,"1,415",475
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,New York,"96,980","4,113","48,980","2,611"
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,New York,"34,410","2,937","15,100","1,601"
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,New York,"3,480",558,575,216
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bihari,New York,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Rajasthani,New York,135,178,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,New York,410,189,85,82
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,New York,50,58,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Kashmiri,New York,230,162,80,71
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,New York,"9,015","1,213","5,750",956
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,New York,940,263,160,85
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,New York,"2,320",744,"1,260",429
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,New York,"2,890",662,925,252
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,New York,50,48,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,New York,"4,210",723,"1,220",266
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,New York,470,228,150,116
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,New York,55,47,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Gullah,New York,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Saramacca,New York,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,New York,360,140,80,54
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,New York,"15,135","1,108","5,515",555
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,New York,140,78,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,New York,"3,005",387,485,120
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,New York,60,51,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,New York,"40,995","2,845","17,010","1,410"
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,New York,"2,465",354,835,237
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,New York,"1,700",362,510,153
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,New York,"5,025","1,433","2,290",735
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,New York,"1,130",549,445,223
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Balochi,New York,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Tadzhik,New York,435,347,350,270
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Ossete,New York,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,New York,"336,870","6,171","223,870","5,003"
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Hakka,New York,325,169,130,84
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,New York,"95,915","3,289","58,365","2,456"
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,New York,"79,395","3,729","49,705","2,950"
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Fuchow,New York,475,212,360,161
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,New York,"9,265","1,224","6,250",965
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Wu,New York,"1,140",335,675,227
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,New York,"34,294","1,756","16,575","1,292"
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,New York,"109,551","3,909","62,586","2,596"
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",New York,"4,578",847,"1,989",424
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,New York,191,115,56,65
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,New York,"9,395","1,012","4,943",629
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,New York,"3,184",562,"1,622",310
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,New York,"22,269","1,612","12,321","1,034"
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,New York,270,213,215,160
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kirghiz,New York,55,85,55,85
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karachay,New York,210,109,90,74
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,New York,"3,290",802,"2,610",669
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,New York,310,245,170,168
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,New York,"19,145","1,601","7,855",845
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,New York,340,146,130,112
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tungus,New York,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Dravidian,New York,45,56,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Gondi,New York,135,136,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,New York,"7,880",777,"1,840",391
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,New York,"1,690",343,315,149
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,New York,"24,340","1,650","8,570",820
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,New York,"8,695","1,039","1,800",463
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Munda,New York,320,220,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,New York,"7,800","1,243","5,445",947
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,New York,"7,145","1,085","5,035",852
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,New York,"5,165",947,"4,930",942
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kachin,New York,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mien,New York,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,New York,"76,524","2,991","21,350","1,435"
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,New York,"4,205",835,"2,205",543
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Javanese,New York,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,New York,260,142,85,67
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,New York,"2,110",647,900,291
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,New York,"1,290",335,330,152
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,New York,"1,220",345,540,204
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pangasinan,New York,155,138,90,95
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,New York,520,199,165,72
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,New York,110,81,45,44
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,New York,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Carolinian,New York,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,New York,160,112,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Kusaiean,New York,70,81,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,New York,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,New York,75,99,40,54
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,New York,30,37,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Melanesian,New York,40,33,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Polynesian,New York,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,New York,140,91,50,52
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,New York,140,129,60,85
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,New York,115,99,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Maori,New York,(D),(D),(B),--
