Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Illinois,IL,340,181,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Illinois,IL,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Illinois,IL,45,59,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Illinois,IL,190,93,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Illinois,IL,25,34,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Illinois,IL,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marquesan,Illinois,IL,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Illinois,IL,40,47,,
ALL OTHER LANGUAGES,Navajo,Navajo,Illinois,IL,53,61,12,18
ALL OTHER LANGUAGES,Other Native North American languages,Inupik,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cree,Illinois,IL,40,56,,
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Menomini,Illinois,IL,30,30,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Illinois,IL,30,33,,
ALL OTHER LANGUAGES,Other Native North American languages,Kuchin,Illinois,IL,55,47,,
ALL OTHER LANGUAGES,Other Native North American languages,Yuma,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Hidatsa,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Illinois,IL,225,111,,
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kansa,Illinois,IL,15,24,,
ALL OTHER LANGUAGES,Other Native North American languages,Omaha,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Illinois,IL,65,46,,
ALL OTHER LANGUAGES,Other Native North American languages,Oneida,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Illinois,IL,60,33,,
ALL OTHER LANGUAGES,Other Native North American languages,Caddo,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tiwa,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Illinois,IL,75,53,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Illinois,IL,"2,928",434,"1,137",290
ALL OTHER LANGUAGES,Arabic,Arabic,Illinois,IL,"56,524","3,451","18,865","1,775"
ALL OTHER LANGUAGES,Hebrew,Hebrew,Illinois,IL,"6,666",886,880,284
ALL OTHER LANGUAGES,African languages,Amharic,Illinois,IL,"3,985",756,"1,495",467
ALL OTHER LANGUAGES,African languages,Berber,Illinois,IL,60,69,,
ALL OTHER LANGUAGES,African languages,Chadic,Illinois,IL,395,214,,
ALL OTHER LANGUAGES,African languages,Cushite,Illinois,IL,"1,065",473,705,417
ALL OTHER LANGUAGES,African languages,Sudanic,Illinois,IL,525,363,95,80
ALL OTHER LANGUAGES,African languages,Nilotic,Illinois,IL,70,53,25,30
ALL OTHER LANGUAGES,African languages,Swahili,Illinois,IL,"1,925",632,335,237
ALL OTHER LANGUAGES,African languages,Bantu,Illinois,IL,"1,675",457,290,104
ALL OTHER LANGUAGES,African languages,Mande,Illinois,IL,500,333,85,103
ALL OTHER LANGUAGES,African languages,Fulani,Illinois,IL,590,258,265,154
ALL OTHER LANGUAGES,African languages,Gur,Illinois,IL,,,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Illinois,IL,"17,940","1,670","3,955",803
ALL OTHER LANGUAGES,African languages,Efik,Illinois,IL,185,130,,
ALL OTHER LANGUAGES,African languages,Mbum (and related),Illinois,IL,,,,
ALL OTHER LANGUAGES,African languages,African,Illinois,IL,545,413,410,407
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Illinois,IL,510,189,70,63
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Illinois,IL,330,140,65,53
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Illinois,IL,265,140,125,79
ALL OTHER LANGUAGES,Other and unspecified languages,Basque,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Illinois,IL,"14,365","1,936","6,165","1,041"
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,Illinois,IL,175,184,,
ALL OTHER LANGUAGES,Other and unspecified languages,Tupi-Guarani,Illinois,IL,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Illinois,IL,110,64,,
ENGLISH,English,English,Indiana,IN,"5,588,460","5,499",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Indiana,IN,"277,380","3,508","123,270","3,124"
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Indiana,IN,"13,770","1,126","3,110",490
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Indiana,IN,125,125,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Indiana,IN,"1,438",432,375,251
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Indiana,IN,"3,574",550,448,138
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Indiana,IN,"1,880",472,510,222
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Indiana,IN,"35,400","1,838","8,100",953
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Indiana,IN,185,124,20,30
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Indiana,IN,"15,895","1,391","4,600",631
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Indiana,IN,"7,950",727,"2,595",465
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Indiana,IN,275,164,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Indiana,IN,220,92,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Indiana,IN,410,243,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Indiana,IN,120,67,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Indiana,IN,130,169,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Indiana,IN,"4,391",670,"1,085",280
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Indiana,IN,"4,835",879,"1,980",482
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Indiana,IN,"4,965",620,"1,361",323
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Indiana,IN,"2,705",593,"1,260",330
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Indiana,IN,780,270,230,119
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Indiana,IN,"3,780",665,"1,330",334
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Indiana,IN,"1,005",286,330,132
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Indiana,IN,350,136,30,26
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Lusatian,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Indiana,IN,435,206,40,27
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Indiana,IN,420,225,30,24
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Indiana,IN,"2,875",718,"1,280",392
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Indiana,IN,55,36,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Indiana,IN,122,86,28,37
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Indiana,IN,"1,480",314,423,169
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Indiana,IN,"7,225","1,061","1,762",485
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Indiana,IN,"4,007",646,"1,343",341
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Indiana,IN,"3,573",668,864,265
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Indiana,IN,"1,255",441,340,194
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Indiana,IN,"1,155",334,250,121
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Indiana,IN,"5,130",876,"1,755",476
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Indiana,IN,860,307,130,86
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bihari,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Indiana,IN,45,69,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Indiana,IN,245,176,160,110
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Indiana,IN,55,67,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Indiana,IN,345,159,90,79
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Indiana,IN,50,64,45,52
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Indiana,IN,85,114,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Indiana,IN,50,41,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Indiana,IN,"1,145",357,195,110
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Indiana,IN,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Indiana,IN,230,82,45,34
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Indiana,IN,45,52,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Indiana,IN,180,144,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Indiana,IN,700,289,190,104
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Indiana,IN,300,143,105,71
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Indiana,IN,115,117,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Indiana,IN,"18,560","1,437","11,320","1,179"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Indiana,IN,"1,035",296,500,192
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Indiana,IN,"3,020",459,"1,390",247
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Indiana,IN,460,190,195,108
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Indiana,IN,40,45,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Indiana,IN,"5,857",885,"2,605",622
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Indiana,IN,"7,588",898,"3,814",578
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Indiana,IN,"1,060",424,478,235
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Indiana,IN,237,214,171,211
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Indiana,IN,975,258,364,136
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Indiana,IN,670,290,337,161
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Indiana,IN,"4,951",702,"3,103",522
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Indiana,IN,165,163,80,72
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Indiana,IN,60,76,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Indiana,IN,655,231,285,197
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkmen,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Indiana,IN,65,72,20,24
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Indiana,IN,"2,130",515,490,202
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Indiana,IN,495,226,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Indiana,IN,520,260,70,72
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Indiana,IN,"1,780",465,205,105
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Indiana,IN,60,64,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Indiana,IN,"5,035",778,"4,320",741
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Indiana,IN,460,345,460,345
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Indiana,IN,"5,667",672,"1,755",321
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Indiana,IN,565,200,240,116
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Indiana,IN,205,151,50,58
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Indiana,IN,370,138,105,70
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Indiana,IN,180,104,60,49
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Indiana,IN,40,48,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Indiana,IN,65,70,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Indiana,IN,35,44,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Indiana,IN,55,39,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Indiana,IN,10,15,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Maori,Indiana,IN,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Indiana,IN,30,29,,
ALL OTHER LANGUAGES,Navajo,Navajo,Indiana,IN,133,82,25,30
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,Indiana,IN,40,51,,
ALL OTHER LANGUAGES,Other Native North American languages,French Cree,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Miami,Indiana,IN,35,48,,
ALL OTHER LANGUAGES,Other Native North American languages,Potawatomi,Indiana,IN,30,51,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,Indiana,IN,25,31,,
ALL OTHER LANGUAGES,Other Native North American languages,Coeur d'Alene,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Quinault,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Indiana,IN,50,48,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Indiana,IN,160,91,,
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Indiana,IN,175,125,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Indiana,IN,70,45,,
ALL OTHER LANGUAGES,Other Native North American languages,Comanche,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Pima,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tewa,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Indiana,IN,20,21,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Indiana,IN,995,231,162,73
ALL OTHER LANGUAGES,Arabic,Arabic,Indiana,IN,"9,017","1,037","3,513",647
ALL OTHER LANGUAGES,Hebrew,Hebrew,Indiana,IN,"1,231",373,244,205
ALL OTHER LANGUAGES,African languages,Amharic,Indiana,IN,"1,805",669,550,203
ALL OTHER LANGUAGES,African languages,Chadic,Indiana,IN,35,32,,
ALL OTHER LANGUAGES,African languages,Cushite,Indiana,IN,285,213,120,95
ALL OTHER LANGUAGES,African languages,Nilo-Hamitic,Indiana,IN,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Indiana,IN,"1,510",441,140,100
ALL OTHER LANGUAGES,African languages,Bantu,Indiana,IN,960,340,100,93
ALL OTHER LANGUAGES,African languages,Mande,Indiana,IN,130,103,80,65
ALL OTHER LANGUAGES,African languages,Fulani,Indiana,IN,215,195,35,50
ALL OTHER LANGUAGES,African languages,Gur,Indiana,IN,,,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Indiana,IN,"3,970",967,920,481
ALL OTHER LANGUAGES,African languages,Efik,Indiana,IN,,,,
ALL OTHER LANGUAGES,African languages,African,Indiana,IN,310,231,40,41
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Indiana,IN,125,72,,
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Indiana,IN,60,40,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Indiana,IN,15,13,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Indiana,IN,20,21,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Indiana,IN,70,98,,
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Indiana,IN,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,Indiana,IN,30,34,30,34
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Indiana,IN,90,47,,
ENGLISH,English,English,Iowa,IA,"2,657,355","2,468",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Iowa,IA,"113,175","1,810","50,000","1,482"
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Iowa,IA,"5,440",612,995,292
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Iowa,IA,,,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Iowa,IA,,,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Iowa,IA,31,30,,
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Iowa,IA,"1,083",211,166,64
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Iowa,IA,670,183,120,61
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Iowa,IA,"12,465",926,"2,615",390
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Iowa,IA,20,14,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Iowa,IA,253,150,86,97
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Iowa,IA,"2,015",563,875,307
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Iowa,IA,"1,630",323,200,89
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Iowa,IA,125,102,50,62
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Iowa,IA,220,93,25,26
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Iowa,IA,425,145,40,30
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Iowa,IA,565,177,55,30
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Iowa,IA,55,45,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Iowa,IA,562,250,69,44
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Iowa,IA,"1,936",436,637,158
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Iowa,IA,522,130,147,75
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Iowa,IA,"7,965",923,"3,795",583
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Iowa,IA,265,135,110,118
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Iowa,IA,405,238,100,73
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Iowa,IA,595,220,315,129
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Iowa,IA,620,124,100,50
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Iowa,IA,115,72,40,45
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Iowa,IA,60,52,45,43
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Iowa,IA,,,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Iowa,IA,122,94,71,82
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Iowa,IA,327,130,107,82
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Iowa,IA,"2,628",485,924,238
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Iowa,IA,532,238,169,109
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Iowa,IA,806,335,164,109
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Iowa,IA,355,225,45,43
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Iowa,IA,200,118,50,57
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Iowa,IA,330,168,55,42
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Iowa,IA,610,280,80,54
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,Iowa,IA,10,17,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Iowa,IA,720,374,430,231
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Iowa,IA,50,88,40,70
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Iowa,IA,75,65,30,31
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Iowa,IA,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Iowa,IA,245,150,30,38
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Iowa,IA,45,34,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Iowa,IA,10,8,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Iowa,IA,455,280,225,234
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Iowa,IA,215,198,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Iowa,IA,90,77,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Iowa,IA,30,34,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Iowa,IA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Iowa,IA,"8,290",871,"4,215",554
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Iowa,IA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Iowa,IA,335,208,130,84
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Iowa,IA,875,287,470,192
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Iowa,IA,315,224,270,206
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Iowa,IA,"1,142",198,361,121
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Iowa,IA,"3,037",565,"1,904",455
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Iowa,IA,528,184,317,147
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Iowa,IA,299,193,135,125
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Iowa,IA,"1,679",594,831,302
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Iowa,IA,"4,039",674,"1,963",348
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Iowa,IA,"7,499",800,"4,886",557
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Iowa,IA,445,224,140,109
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Iowa,IA,70,82,20,19
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Iowa,IA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Iowa,IA,"1,600",387,325,137
