Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Ohio,OH,4935,622,2065,394
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Ohio,OH,985,332,480,187
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Ohio,OH,9510,915,4619,580
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Ohio,OH,12560,1045,6007,634
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Ohio,OH,3992,747,1988,468
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Ohio,OH,543,306,164,108
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Ohio,OH,2590,492,1261,298
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Ohio,OH,3287,659,1353,347
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Ohio,OH,11619,1012,6609,735
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karachay,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Ohio,OH,170,111,135,89
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Ohio,OH,2810,549,1030,234
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Ohio,OH,75,71,35,46
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Ohio,OH,7490,1019,1585,395
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Ohio,OH,1460,404,200,118
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Ohio,OH,2220,503,475,200
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Ohio,OH,6210,900,1115,356
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Munda,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Ohio,OH,165,196,165,196
