Group,Sub-Group,Language,State,Number of Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Oregon,799,284,249,134,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Oregon,2130,482,1131,283,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Oregon,2594,580,1165,299,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Oregon,25813,1430,16415,1180,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,Oregon,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Oregon,645,255,280,164,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Oregon,1605,541,430,312,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Oregon,745,335,110,94,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Oregon,400,176,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Oregon,1680,441,190,115,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Oregon,215,105,70,48,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Oregon,895,510,680,378,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Oregon,155,129,110,123,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mien,Oregon,1500,448,755,278,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Paleo-siberian,Oregon,195,226,115,153,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Oregon,8452,797,2388,388,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Oregon,920,269,300,155,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Oregon,95,58,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Oregon,295,128,85,61,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Oregon,90,69,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Oregon,330,275,160,176,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Oregon,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Oregon,550,325,85,91,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Carolinian,Oregon,70,75,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Oregon,420,198,65,81,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Oregon,565,227,160,103,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Mokilese,Oregon,25,38,25,38,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Oregon,390,208,85,65,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,Oregon,105,123,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,Oregon,1905,613,810,369,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Woleai-Ulithi,Oregon,55,108,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Yapese,Oregon,175,160,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Oregon,1220,467,300,196,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Oregon,735,413,170,128,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,Oregon,45,46,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Rarotongan,Oregon,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Nukuoro,Oregon,95,119,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Oregon,240,127,50,51,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Oregon,326,186,79,68,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Eskimo,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yupik,Oregon,35,28,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Blackfoot,Oregon,40,47,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cheyenne,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Fox,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Salish,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Okanogan,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Chasta Costa,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tlingit,Oregon,95,67,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Siuslaw,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Klamath,Oregon,195,135,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Nez Perce,Oregon,105,70,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Sahaptian,Oregon,430,131,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Upper Chinook,Oregon,215,137,15,19,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mohave,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Diegueno,Oregon,85,136,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Oregon,190,116,30,48,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Oregon,10,10,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Oregon,110,71,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mono,Oregon,120,113,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Paiute,Oregon,60,43,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hopi,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Pima,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Tewa,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Zuni,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Chinook Jargon,Oregon,30,22,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Oregon,200,113,50,67,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Oregon,859,238,289,132,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Oregon,7938,1518,3106,838,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Oregon,1112,259,188,137,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Oregon,1690,384,670,225,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,Oregon,3055,838,1580,580,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,Oregon,1160,618,580,563,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,Oregon,310,156,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Fulani,Oregon,105,98,15,20,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Oregon,460,178,80,48,,,,
ALL OTHER LANGUAGES,.African languages,..Efik,Oregon,55,60,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..African,Oregon,30,39,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Oregon,615,211,150,79,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Oregon,100,69,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Oregon,35,60,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Basque,Oregon,50,39,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Oregon,470,250,195,118,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Tarascan,Oregon,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Oto - Manguen,Oregon,560,581,365,354,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Oregon,45,39,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,Pennsylvania,10769224,6989,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,Pennsylvania,525220,4458,204630,3300,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Pennsylvania,38870,2038,9980,942,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Pennsylvania,1185,278,155,98,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Pennsylvania,30,33,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Pennsylvania,14996,1576,5514,947,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Pennsylvania,44686,1600,12671,814,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Pennsylvania,12505,1434,5075,887,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Pennsylvania,51345,1476,10275,738,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Pennsylvania,1867,355,192,121,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Pennsylvania,51760,2235,16510,1015,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Pennsylvania,10635,1174,3105,538,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Pennsylvania,660,229,140,67,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Pennsylvania,1795,559,340,160,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Pennsylvania,770,257,70,46,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Pennsylvania,695,193,80,39,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Pennsylvania,150,82,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Pennsylvania,14970,1093,3986,478,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Pennsylvania,35394,2012,17091,1189,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Pennsylvania,23470,1661,7700,878,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Pennsylvania,4400,563,1900,289,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Pennsylvania,2410,645,690,239,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Pennsylvania,1725,385,480,150,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,Pennsylvania,70,61,60,53,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Pennsylvania,11845,1155,4920,672,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Pennsylvania,1155,234,310,148,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Lusatian,Pennsylvania,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Pennsylvania,3860,385,700,145,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Pennsylvania,1720,404,595,239,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Pennsylvania,225,116,90,75,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Pennsylvania,305,99,75,41,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Pennsylvania,1979,493,446,177,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Pennsylvania,4554,698,1366,294,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Pennsylvania,21108,1658,4533,641,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Pennsylvania,19292,1661,8236,854,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Pennsylvania,8322,1152,2205,627,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Pennsylvania,2905,677,1150,392,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Pennsylvania,7850,1146,3035,531,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Pennsylvania,4965,933,1980,549,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Pennsylvania,3250,633,450,172,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Pennsylvania,135,115,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Pennsylvania,15,16,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Kashmiri,Pennsylvania,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Pennsylvania,4720,909,3610,832,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Pennsylvania,375,283,195,203,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Pennsylvania,170,111,80,66,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Pennsylvania,575,222,205,133,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,Pennsylvania,55,46,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Pennsylvania,1330,381,130,93,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Pennsylvania,605,247,200,140,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Pennsylvania,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Pennsylvania,65,72,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Pennsylvania,4630,690,1705,330,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Pennsylvania,220,88,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Pennsylvania,755,184,185,114,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Pennsylvania,65,59,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Pennsylvania,7320,1164,3795,631,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Pennsylvania,1435,258,340,140,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Pennsylvania,645,196,85,60,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Pennsylvania,605,350,320,193,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Pennsylvania,80,77,30,35,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Pennsylvania,55775,2304,30770,1564,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Pennsylvania,6460,828,3715,634,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Pennsylvania,9010,804,4795,641,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Fuchow,Pennsylvania,160,115,130,114,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Pennsylvania,1470,393,765,272,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Wu,Pennsylvania,25,28,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Pennsylvania,6546,543,2426,378,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Pennsylvania,28884,1516,14771,957,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Pennsylvania,11188,1456,6582,1072,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Pennsylvania,900,540,390,216,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Pennsylvania,2304,378,1137,229,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Pennsylvania,2064,577,1122,402,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Pennsylvania,37783,1990,23983,1367,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,Pennsylvania,85,84,50,63,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Pennsylvania,435,243,340,206,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Pennsylvania,4110,540,1550,343,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkmen,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Pennsylvania,65,56,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Dravidian,Pennsylvania,25,42,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Pennsylvania,7875,925,1600,471,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Pennsylvania,1620,403,385,187,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Pennsylvania,10945,1242,4680,636,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Pennsylvania,6250,613,1295,340,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Munda,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Pennsylvania,330,287,155,176,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Pennsylvania,1640,666,1150,564,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Pennsylvania,765,537,725,528,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kachin,Pennsylvania,30,33,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Pennsylvania,15222,1263,4206,600,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Pennsylvania,2960,667,1590,431,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Balinese,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Cham,Pennsylvania,75,120,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Javanese,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Pennsylvania,550,204,285,164,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Minangkabau,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Pennsylvania,220,83,55,37,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Pennsylvania,190,102,50,57,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Pennsylvania,100,85,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Carolinian,Pennsylvania,45,49,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Pennsylvania,170,90,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Mokilese,Pennsylvania,15,27,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Pennsylvania,70,62,35,36,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Woleai-Ulithi,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Melanesian,Pennsylvania,145,143,65,90,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Pennsylvania,105,61,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,Pennsylvania,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Maori,Pennsylvania,30,38,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Pennsylvania,50,43,NA,NA,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Pennsylvania,124,127,50,53,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Pennsylvania,10,12,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Algonquian,Pennsylvania,35,41,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cheyenne,Pennsylvania,25,21,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Delaware,Pennsylvania,20,21,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kwakiutl,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kuchin,Pennsylvania,60,68,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Pennsylvania,80,71,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Crow,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Hidatsa,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Pennsylvania,155,81,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Pennsylvania,105,90,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Muskogee,Pennsylvania,60,42,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mohawk,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Onondaga,Pennsylvania,50,82,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Seneca,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Wyandot,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Pennsylvania,150,61,25,31,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Pima,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Towa,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Pennsylvania,60,51,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kalispel,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Pennsylvania,3857,466,930,205,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Pennsylvania,29546,2179,10772,930,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Pennsylvania,6272,700,820,231,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Pennsylvania,4075,718,1600,489,,,,
ALL OTHER LANGUAGES,.African languages,..Berber,Pennsylvania,380,200,200,133,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,Pennsylvania,255,132,60,57,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,Pennsylvania,990,420,545,220,,,,
ALL OTHER LANGUAGES,.African languages,..Sudanic,Pennsylvania,60,46,35,33,,,,
ALL OTHER LANGUAGES,.African languages,..Nilotic,Pennsylvania,130,150,NA,NA,,,,
